"TUITIONFEE_OUT","ADM_RATE","STABBR","INSTNM","COSTT4_A","UGDS","ACTCM25","ACTCM75","SATMT25","SATMT75"
"11604","NULL","AL","MilesCollege","22168","1869","NULL","NULL","NULL","NULL"
"20470","0.6051","AL","UniversityofMobile","32349","1437","19","25","420","580"
"22780","0.7001","AL","UniversityofMontevallo","22840","2553","20","26","475","580"
"7741","NULL","AL","NorthwestShoalsCommunityCollege","11060","3047","NULL","NULL","NULL","NULL"
"13870","0.58","AL","UniversityofNorthAlabama","16135","5698","19","25","410","535"
"7770","NULL","AL","NortheastAlabamaCommunityCollege","8230","2050","NULL","NULL","NULL","NULL"
"16720","0.4749","AL","OakwoodUniversity","35546","1687","17","22","380","500"
"7770","NULL","AL","AlabamaSouthernCommunityCollege","10823","1151","NULL","NULL","NULL","NULL"
"10485","NULL","IL","PrinceInstituteSoutheast","NULL","25","NULL","NULL","NULL","NULL"
"7830","NULL","AL","ReidStateTechnicalCollege","9233","422","NULL","NULL","NULL","NULL"
"7770","NULL","AL","BishopStateCommunityCollege","10193","2701","NULL","NULL","NULL","NULL"
"28370","0.933","AL","SamfordUniversity","42270","3145","23","29","490","610"
"6705","NULL","AL","SelmaUniversity","15055","312","NULL","NULL","NULL","NULL"
"7383","NULL","AL","SheltonStateCommunityCollege","13901","4478","NULL","NULL","NULL","NULL"
"7830","NULL","AL","SneadStateCommunityCollege","10771","2178","NULL","NULL","NULL","NULL"
"14364","0.7816","AL","UniversityofSouthAlabama","19654","11379","20","25","430","540"
"34092","0.4132","AL","SpringHillCollege","45489","1347","22","27","490","605"
"12600","1","AL","SoutheasternBibleCollege","18988","151","18","25","440","630"
"10418","0.5659","AL","StillmanCollege","26466","843","14","21","320","450"
"12510","NULL","AL","TalladegaCollege","21476","919","NULL","NULL","NULL","NULL"
"7524","NULL","AL","HCouncillTrenholmStateCommunityCollege","11168","1282","NULL","NULL","NULL","NULL"
"14812","0.9187","AL","TroyUniversity","17898","14065","19","26","430","550"
"20015","0.5296","AL","TuskegeeUniversity","34354","2486","18","23","410","520"
"NULL","NULL","AL","UnitedStatesSportsAcademy","NULL","104","NULL","NULL","NULL","NULL"
"7800","NULL","AL","BevillStateCommunityCollege","13058","3075","NULL","NULL","NULL","NULL"
"17177","0.706","AK","UniversityofAlaskaAnchorage","14476","12348","NULL","NULL","NULL","NULL"
"9300","NULL","AK","AlaskaBibleCollege","17404","28","NULL","NULL","NULL","NULL"
"17303","0.731","AK","UniversityofAlaskaFairbanks","16025","5432","18","26","480","610"
"17306","0.4891","AK","UniversityofAlaskaSoutheast","18474","1372","NULL","NULL","NULL","NULL"
"19610","0.3891","AK","AlaskaPacificUniversity","31435","254","17","26","415","545"
"NULL","NULL","AK","AVTECAlaska'sInstituteofTechnology","NULL","970","NULL","NULL","NULL","NULL"
"20137","NULL","WA","CharterCollege","30017","1910","NULL","NULL","NULL","NULL"
"NULL","NULL","AK","AlaskaCareerCollege","NULL","378","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","EmpireBeautySchoolTucson","NULL","115","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","ThunderbirdSchoolofGlobalManagement","NULL","NULL","NULL","NULL","NULL","NULL"
"11700","NULL","AZ","AmericanIndianCollegeInc","22928","96","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","AmericanInstituteofTrucking","NULL","324","NULL","NULL","NULL","NULL"
"NULL","0.9837","AZ","CarringtonCollegePhoenixNorth","NULL","676","NULL","NULL","NULL","NULL"
"NULL","0.9861","AZ","CarringtonCollegeMesa","NULL","633","NULL","NULL","NULL","NULL"
"NULL","0.9774","AZ","CarringtonCollegeTucson","NULL","357","NULL","NULL","NULL","NULL"
"16968","NULL","AZ","CollegeAmericaFlagstaff","30875","137","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","ArizonaAcademyofBeautyEast","NULL","33","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","ArizonaAutomotiveInstitute","NULL","655","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","BrooklineCollegePhoenix","NULL","1240","NULL","NULL","NULL","NULL"
"25458","0.8291","AZ","ArizonaStateUniversityTempe","23440","41222","23","28","520","640"
"9530","NULL","AZ","ArizonaWesternCollege","14398","6608","NULL","NULL","NULL","NULL"
"32630","0.7643","AZ","UniversityofArizona","23996","32964","NULL","NULL","NULL","NULL"
"23069","NULL","AZ","SouthwestUniversityofVisualArtsTucson","38376","131","NULL","NULL","NULL","NULL"
"10740","NULL","AZ","CentralArizonaCollege","9598","5134","NULL","NULL","NULL","NULL"
"13788","NULL","AZ","BrownMackieCollegeTucson","24489","450","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","CharlesofItalyBeautyCollege","NULL","63","NULL","NULL","NULL","NULL"
"6000","NULL","AZ","CochiseCountyCommunityCollegeDistrict","9378","3949","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","EmpireBeautySchoolFlagstaff","NULL","44","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","EmpireBeautySchoolChandler","NULL","66","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","CortivaInstituteTucson","NULL","133","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","AvalonSchoolofCosmetologyMesa","NULL","333","NULL","NULL","NULL","NULL"
"9580","NULL","AZ","EasternArizonaCollege","12399","4526","NULL","NULL","NULL","NULL"
"33144","0.7914","AZ","EmbryRiddleAeronauticalUniversityPrescott","47148","2193","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","FrankLloydWrightSchoolofArchitecture","NULL","NULL","NULL","NULL","NULL","NULL"
"7830","NULL","AZ","GlendaleCommunityCollege","11530","15616","NULL","NULL","NULL","NULL"
"17050","0.432","AZ","GrandCanyonUniversity","31131","42444","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","InternationalAcademyofHairDesign","NULL","136","NULL","NULL","NULL","NULL"
"7830","NULL","AZ","GateWayCommunityCollege","12430","5019","NULL","NULL","NULL","NULL"
"7830","NULL","AZ","MesaCommunityCollege","12357","17717","NULL","NULL","NULL","NULL"
"18048","0.927","AZ","ITTTechnicalInstituteTucson","28145","342","NULL","NULL","NULL","NULL"
"18048","0.9539","AZ","ITTTechnicalInstituteTempe","27463","379","NULL","NULL","NULL","NULL"
"6972","NULL","AZ","MohaveCommunityCollege","12024","3199","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","UniversalTechnicalInstituteofArizonaIncMotorcycleMechanicsInstituteDivision","NULL","1349","NULL","NULL","NULL","NULL"
"725","NULL","AZ","DineCollege","6553","1369","NULL","NULL","NULL","NULL"
"23348","0.7706","AZ","NorthernArizonaUniversity","24693","24992","NULL","NULL","NULL","NULL"
"7880","NULL","AZ","NorthlandPioneerCollege","13304","1614","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","OttawaUniversityPhoenix","NULL","313","NULL","NULL","NULL","NULL"
"7830","NULL","AZ","PhoenixCollege","12031","9745","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","CortivaInstituteScottsdale","NULL","111","NULL","NULL","NULL","NULL"
"8610","NULL","AZ","PimaCommunityCollege","7258","19859","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","PimaMedicalInstituteTucson","NULL","2023","NULL","NULL","NULL","NULL"
"NULL","NULL","NM","PimaMedicalInstituteAlbuquerque","NULL","913","NULL","NULL","NULL","NULL"
"27503","0.7043","AZ","PrescottCollege","38597","397","19","27","460","570"
"NULL","NULL","AZ","RefrigerationSchoolInc","NULL","688","NULL","NULL","NULL","NULL"
"7830","NULL","AZ","RioSaladoCollege","11130","7515","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","RobertoVennSchoolofLuthiery","NULL","32","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","HairAcademyofSafford","NULL","37","NULL","NULL","NULL","NULL"
"7830","NULL","AZ","ScottsdaleCommunityCollege","12472","6998","NULL","NULL","NULL","NULL"
"7830","NULL","AZ","SouthMountainCommunityCollege","11710","3416","NULL","NULL","NULL","NULL"
"23110","0.5123","AZ","ArizonaChristianUniversity","34794","644","19","23","473","550"
"NULL","NULL","AZ","TucsonCollege","NULL","279","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","UniversalTechnicalInstituteofArizonaInc","NULL","2100","NULL","NULL","NULL","NULL"
"6000","NULL","AZ","WesternInternationalUniversity","17637","914","NULL","NULL","NULL","NULL"
"NULL","NULL","AZ","EmpireBeautySchoolNWPhoenix","NULL","155","NULL","NULL","NULL","NULL"
"8688","NULL","AZ","YavapaiCollege","10902","5112","NULL","NULL","NULL","NULL"
"17956","0.8983","AR","UniversityofArkansasatLittleRock","20714","7888","18","24","450","550"
"NULL","NULL","AR","UniversityofArkansasforMedicalSciences","NULL","761","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","ABCBeautyCollegeInc","NULL","21","NULL","NULL","NULL","NULL"
"8760","NULL","AR","ArkansasBaptistCollege","19723","989","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","ArkansasBeautySchoolLittleRock","NULL","74","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","ArkansasBeautyCollege","NULL","23","NULL","NULL","NULL","NULL"
"25280","0.5912","AR","LyonCollege","34566","675","22","27","490","580"
"NULL","NULL","AR","ArkansasCollegeofBarberingandHairDesign","NULL","176","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","Arthur'sBeautyCollegeIncFortSmith","NULL","29","NULL","NULL","NULL","NULL"
"21826","0.6006","AR","UniversityofArkansas","21288","21815","23","28","510","620"
"12268","0.4616","AR","UniversityofArkansasatPineBluff","15994","2526","16","20","400","500"
"5370","NULL","AR","ArkansasStateUniversityBeebe","12460","2889","NULL","NULL","NULL","NULL"
"14050","0.7024","AR","ArkansasStateUniversityMainCampus","20349","8909","21","26","470","540"
"11352","0.8911","AR","ArkansasTechUniversity","17260","8799","NULL","NULL","NULL","NULL"
"12296","NULL","AR","UniversityofArkansasatMonticello","16691","2549","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","Arthur'sBeautyCollegeIncJacksonville","NULL","54","NULL","NULL","NULL","NULL"
"8802","0.3235","AR","BaptistHealthCollegeLittleRock","24556","663","21","24","NULL","NULL"
"5304","NULL","AR","BlackRiverTechnicalCollege","12005","1289","NULL","NULL","NULL","NULL"
"13806","0.9218","AR","UniversityofCentralArkansas","19686","9340","20","26","450","570"
"14400","0.4749","AR","CentralBaptistCollege","23292","777","18","23","407","445"
"5820","NULL","AR","CossatotCommunityCollegeoftheUniversityofArkansas","11415","1006","NULL","NULL","NULL","NULL"
"11900","NULL","AR","Crowley'sRidgeCollege","19935","181","NULL","NULL","NULL","NULL"
"1350","NULL","AR","Crowley'sRidgeTechnicalInstitute","8881","205","NULL","NULL","NULL","NULL"
"3600","NULL","AR","EastArkansasCommunityCollege","9284","721","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","EasternCollegeofHealthVocationsLittleRock","NULL","149","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","ImaginePaulMitchellPartnerSchool","NULL","315","NULL","NULL","NULL","NULL"
"4580","NULL","AR","NationalParkCollege","13067","2061","NULL","NULL","NULL","NULL"
"3942","NULL","AR","UniversityofArkansasCommunityCollegeBatesville","7914","1054","NULL","NULL","NULL","NULL"
"17805","0.992","AR","HardingUniversity","27205","4450","22","28","480","620"
"14700","0.6334","AR","HendersonStateUniversity","19037","3096","18","24","448","525"
"40870","0.8238","AR","HendrixCollege","54087","1303","25","32","580","660"
"NULL","NULL","AR","HotSpringsBeautyCollege","NULL","38","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","JeffersonRegionalMedicalCenterSchoolofNursing","NULL","67","NULL","NULL","NULL","NULL"
"24468","0.7376","AR","JohnBrownUniversity","35706","1684","24","30","510","625"
"NULL","NULL","AR","LeesSchoolofCosmetology","NULL","22","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","CareerAcademyofHairDesign","NULL","248","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","AcademyofSalonandSpa","NULL","71","NULL","NULL","NULL","NULL"
"4388","NULL","AR","ArkansasStateUniversityMidSouth","12056","978","NULL","NULL","NULL","NULL"
"3830","NULL","AR","ArkansasNortheasternCollege","9990","1014","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","Margaret'sHairAcademyInc","NULL","38","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","NewTylerBarberCollegeInc","NULL","59","NULL","NULL","NULL","NULL"
"4320","NULL","AR","NorthArkansasCollege","9872","1502","NULL","NULL","NULL","NULL"
"2321","NULL","AR","NorthwestTechnicalInstitute","11731","186","NULL","NULL","NULL","NULL"
"24120","0.6845","AR","OuachitaBaptistUniversity","33675","1471","21","28","470","630"
"6410","NULL","AR","CollegeoftheOuachitas","12416","764","NULL","NULL","NULL","NULL"
"5128","NULL","AR","OzarkaCollege","11481","842","NULL","NULL","NULL","NULL"
"24440","0.9677","AR","UniversityoftheOzarks","35792","640","20","25","430","520"
"3908","0.6647","AR","UniversityofArkansasCommunityCollegeMorrilton","10306","1970","17","22","400","450"
"12564","NULL","AR","PhilanderSmithCollege","26179","584","NULL","NULL","NULL","NULL"
"4325","NULL","AR","PhillipsCommunityCollegeoftheUniversityofArkansas","10321","708","NULL","NULL","NULL","NULL"
"5590","NULL","AR","SoutheastArkansasCollege","8102","1357","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","ProfessionalCosmetologyEducationCenter","NULL","41","NULL","NULL","NULL","NULL"
"6072","NULL","AR","PulaskiTechnicalCollege","14683","6844","NULL","NULL","NULL","NULL"
"4770","NULL","AR","UniversityofArkansasCommunityCollegeHope","13911","1043","NULL","NULL","NULL","NULL"
"5400","NULL","AR","RichMountainCommunityCollege","11423","501","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","PaulMitchelltheSchoolArkansas","NULL","108","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","SearcyBeautyCollege","NULL","52","NULL","NULL","NULL","NULL"
"4904","NULL","AR","ShorterCollege","20759","236","NULL","NULL","NULL","NULL"
"16430","0.6375","AR","WilliamsBaptistCollege","24697","490","19","24","NULL","NULL"
"4538","NULL","AR","SouthArkansasCommunityCollege","14152","1182","NULL","NULL","NULL","NULL"
"11531","0.6748","AR","SouthernArkansasUniversityMainCampus","19970","2859","18","24","420","540"
"6117","NULL","AR","SouthernArkansasUniversityTech","16936","697","NULL","NULL","NULL","NULL"
"NULL","NULL","AR","VelvatexCollegeofBeautyCulture","NULL","23","NULL","NULL","NULL","NULL"
"11302","0.5581","AR","UniversityofArkansasFortSmith","13897","5754","NULL","NULL","NULL","NULL"
"20340","NULL","CA","AcademyofArtUniversity","36786","8969","NULL","NULL","NULL","NULL"
"18048","0.9317","CA","ITTTechnicalInstituteRanchoCordova","28541","415","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","AcademyofChineseCultureandHealthSciences","NULL","NULL","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","TheAcademyofRadioandTVBroadcasting","NULL","34","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","AvalonSchoolofCosmetologyAlameda","NULL","135","NULL","NULL","NULL","NULL"
"6316","NULL","CA","CollegeofAlameda","12265","5486","NULL","NULL","NULL","NULL"
"6750","NULL","CA","AllanHancockCollege","10601","9437","NULL","NULL","NULL","NULL"
"30650","0.1557","CA","AmericanAcademyofDramaticArtsLosAngeles","51538","295","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","AmericanBaptistSeminaryoftheWest","NULL","NULL","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","AmericanFilmInstituteConservatory","NULL","NULL","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","AmericanBeautyCollege","NULL","79","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","AmericanCareerCollegeLosAngeles","NULL","1543","NULL","NULL","NULL","NULL"
"26951","1","CA","AmericanConservatoryTheater","NULL","1","NULL","NULL","NULL","NULL"
"7440","NULL","CA","AmericanRiverCollege","13250","26760","NULL","NULL","NULL","NULL"
"5664","NULL","CA","AntelopeValleyCollege","11490","12286","NULL","NULL","NULL","NULL"
"39230","0.7951","CA","ArtCenterCollegeofDesign","59787","1890","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","AssociatedTechnicalCollegeLosAngeles","NULL","377","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","AssociatedTechnicalCollegeSanDiego","NULL","76","NULL","NULL","NULL","NULL"
"34754","0.809","CA","AzusaPacificUniversity","46441","5883","21","27","470","590"
"8102","NULL","CA","BakersfieldCollege","9627","17918","NULL","NULL","NULL","NULL"
"5400","NULL","CA","BarstowCommunityCollege","14776","2782","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","BellusAcademyNationalCity","NULL","164","NULL","NULL","NULL","NULL"
"9120","NULL","CA","BethesdaUniversity","19118","279","NULL","NULL","NULL","NULL"
"34498","0.6985","CA","BiolaUniversity","47468","4219","21","28","490","620"
"20320","0.9755","CA","BrooksInstitute","32221","334","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","BrownsonTechnicalSchool","NULL","46","NULL","NULL","NULL","NULL"
"11945","NULL","CA","BryanUniversity","23421","1417","NULL","NULL","NULL","NULL"
"6404","NULL","CA","ButteCollege","11383","10646","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","PhillipsGraduateUniversity","NULL","NULL","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","CaliforniaInstituteofIntegralStudies","NULL","78","NULL","NULL","NULL","NULL"
"5698","NULL","CA","CabrilloCollege","14329","11696","NULL","NULL","NULL","NULL"
"30384","0.6541","CA","CaliforniaBaptistUniversity","41760","6604","17","24","410","540"
"43708","0.6854","CA","CaliforniaCollegeoftheArts","56984","1491","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","UniversityofCaliforniaHastingsCollegeofLaw","NULL","NULL","NULL","NULL","NULL","NULL"
"45390","0.0881","CA","CaliforniaInstituteofTechnology","60990","1001","34","35","770","800"
"38430","0.6156","CA","CaliforniaLutheranUniversity","52386","2802","22","27","500","600"
"20161","0.3129","CA","CaliforniaPolytechnicStateUniversitySanLuisObispo","24580","19972","26","31","580","690"
"16800","0.9155","CA","AlliantInternationalUniversitySanDiego","29341","342","NULL","NULL","NULL","NULL"
"17971","0.6875","CA","CaliforniaStateUniversityBakersfield","16154","8068","NULL","NULL","NULL","NULL"
"17864","0.7063","CA","CaliforniaStateUniversityStanislaus","16594","8093","NULL","NULL","NULL","NULL"
"17737","0.6459","CA","CaliforniaStateUniversitySanBernardino","16138","17518","16","20","400","500"
"18176","0.3931","CA","CaliforniaStatePolytechnicUniversityPomona","21709","22034","20","27","470","620"
"18182","0.6345","CA","CaliforniaStateUniversityChico","21756","15903","19","24","450","560"
"17373","0.5277","CA","CaliforniaStateUniversityDominguezHills","13349","12584","NULL","NULL","NULL","NULL"
"17471","0.5219","CA","CaliforniaStateUniversityFresno","16236","21076","16","21","400","510"
"17597","0.4186","CA","CaliforniaStateUniversityFullerton","16337","33009","19","24","470","570"
"17724","0.7403","CA","CaliforniaStateUniversityEastBay","19842","12981","NULL","NULL","NULL","NULL"
"17612","0.3382","CA","CaliforniaStateUniversityLongBeach","17718","32025","20","26","470","600"
"17515","0.6813","CA","CaliforniaStateUniversityLosAngeles","13734","23424","15","20","390","500"
"17729","0.456","CA","CaliforniaStateUniversityNorthridge","16793","36979","16","22","390","510"
"18032","0.6725","CA","CaliforniaStateUniversitySacramento","17927","27323","17","23","420","540"
"38139","0.1688","CA","UniversityofCaliforniaBerkeley","33993","27496","30","34","640","770"
"38659","0.3795","CA","UniversityofCaliforniaDavis","33271","28239","25","31","560","710"
"37960","0.3868","CA","UniversityofCaliforniaIrvine","30796","25245","24","29","550","690"
"37471","0.1728","CA","UniversityofCaliforniaLosAngeles","32594","29581","28","33","600","760"
"38235","0.556","CA","UniversityofCaliforniaRiverside","30943","18597","23","28","490","610"
"38238","0.3374","CA","UniversityofCaliforniaSanDiego","30837","26584","28","33","640","770"
"NULL","NULL","CA","UniversityofCaliforniaSanFrancisco","NULL","NULL","NULL","NULL","NULL","NULL"
"38676","0.3264","CA","UniversityofCaliforniaSantaBarbara","34496","20606","26","31","560","700"
"38169","0.5029","CA","UniversityofCaliforniaSantaCruz","34124","16231","25","30","540","670"
"NULL","NULL","CA","SofiaUniversity","NULL","10","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","CaliforniaBeautySchool","NULL","54","NULL","NULL","NULL","NULL"
"8750","1","CA","CaliforniaChristianCollege","NULL","18","NULL","NULL","NULL","NULL"
"14787","NULL","CA","LeCordonBleuCollegeofCulinaryArtsSanFrancisco","21272","378","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","CaliforniaHairDesignAcademy","NULL","210","NULL","NULL","NULL","NULL"
"43986","0.2493","CA","CaliforniaInstituteoftheArts","62437","942","NULL","NULL","NULL","NULL"
"17718","0.6617","CA","CaliforniaStateUniversityMaritimeAcademy","22023","1072","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","CaliforniaWesternSchoolofLaw","NULL","NULL","NULL","NULL","NULL","NULL"
"7532","NULL","CA","CanadaCollege","9733","5192","NULL","NULL","NULL","NULL"
"1154","NULL","CA","CollegeoftheCanyons","11215","16628","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","CareerAcademyofBeauty","NULL","153","NULL","NULL","NULL","NULL"
"NULL","0.8052","CA","CasaLomaCollegeVanNuys","NULL","356","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","CETSanDiego","NULL","307","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","CETSobrato","NULL","431","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","CETElCentro","NULL","380","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","CETColton","NULL","189","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","CETWatsonville","NULL","163","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","CETSalinas","NULL","93","NULL","NULL","NULL","NULL"
"7926","NULL","CA","CerritosCollege","8824","20439","NULL","NULL","NULL","NULL"
"8066","NULL","CA","CerroCosoCommunityCollege","12239","4104","NULL","NULL","NULL","NULL"
"6970","NULL","CA","ChabotCollege","11123","12255","NULL","NULL","NULL","NULL"
"6217","NULL","CA","ChaffeyCollege","14888","18449","NULL","NULL","NULL","NULL"
"47260","0.4758","CA","ChapmanUniversity","61231","6281","25","30","550","650"
"NULL","NULL","CA","CharlesRDrewUniversityofMedicineandScience","NULL","85","NULL","NULL","NULL","NULL"
"31690","0.5917","CA","ConcordiaUniversityIrvine","44294","1863","20","25","460","570"
"28470","0.5173","CA","SanDiegoChristianCollege","41689","905","17","23","410","510"
"NULL","NULL","CA","ChurchDivinitySchoolofthePacific","NULL","NULL","NULL","NULL","NULL","NULL"
"6550","NULL","CA","CitrusCollege","9627","11599","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","CitrusHeightsBeautyCollege","NULL","81","NULL","NULL","NULL","NULL"
"7554","NULL","CA","CityCollegeofSanFrancisco","10190","21619","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","ClaremontGraduateUniversity","NULL","NULL","NULL","NULL","NULL","NULL"
"49045","0.1096","CA","ClaremontMcKennaCollege","64215","1325","29","33","670","780"
"NULL","NULL","CA","MilanInstituteVisalia","NULL","354","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","ClovisAdultEducation","NULL","612","NULL","NULL","NULL","NULL"
"5576","NULL","CA","CoastlineCommunityCollege","14431","9773","NULL","NULL","NULL","NULL"
"16640","0.6074","CA","CogswellCollege","28780","630","NULL","NULL","NULL","NULL"
"20725","0.7356","CA","ColemanUniversity","31965","346","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","CobaCosmetologyAcademy","NULL","35","NULL","NULL","NULL","NULL"
"NULL","NULL","CA","WesternUniversityofHealthSciences","NULL","NULL","NULL","NULL","NULL","NULL"
"6370","NULL","CA","ColumbiaCollege","13179","2173","NULL","NULL","NULL","NULL"
"21105","0.8358","CA","ColumbiaCollegeHollywood","32663","326","NULL","NULL","NULL","NULL"
"5678","NULL","CA","ElCaminoCollegeComptonCenter","13736","6484","NULL","NULL","NULL","NULL"
"7542","NULL","CA","ContraCostaCollege","12949","5052","NULL","NULL","NULL","NULL"
"7440","NULL","CA","CosumnesRiverCollege","13953","13315","NULL","NULL","NULL","NULL"
